R&D Spend,Administration,Marketing Spend,State,Profit
131572.53,71989.9,436118.73,California,185293.79
74609.33,50809.85,335859.42,Florida,126983.42
145961.65,136561.68,127617.58,New York,164148.99
118552.56,123133.59,465204.66,Florida,182839.18
16010.15,127568.19,373800.43,California,110284.63
165855.8,135880.19,344107.29,New York,208722.06
129393.75,100480.74,215693.52,New York,166540.25
133630.93,112561.53,130675.95,California,162299.28
21779.32,65377.67,46267.66,New York,79258.99
76565.61,62598.31,433249.15,New York,150772.38
63035.66,123524.33,218772.62,California,116538.35
157550.05,101820.58,97134.42,Florida,178860.03
109457.07,112175.97,146859.18,New York,149054.59
139869.47,134149.87,278025.39,New York,191589.09
75380.41,119819.02,84850.94,New York,117151.16
38630.58,110893.73,411174.86,California,112820.44
94279.41,111512.79,364089.37,Florida,145541.67
10848.93,83434.51,345342.22,Florida,100588.4
140697.3,53389.96,207404.66,Florida,179520.11
107382.95,98038.91,301108.24,Florida,155270.99
128874.92,73604.31,280367.03,New York,169971.69
60269.41,94938.15,311926.37,New York,135652.81
165018.66,143874.34,40533.27,California,168779.47
151830.59,75733.34,199587.55,Florida,171937.75
132325.19,56413.3,19974.8,Florida,148388.11
33088.58,80952.23,237115.59,New York,96905.8
79342.57,82295.31,158333.38,New York,124721.07
7446.64,122810.82,69371.61,New York,64730.52
26229.21,111273.54,49633.42,New York,78824.77
116118.32,136228.8,282069.39,California,172506.17
126609.57,123074.49,81884.62,California,151613.84
164476.65,94702.55,444057.66,California,217280.69
55390.31,139542.24,278909.35,New York,109552.62
62978.15,68367.02,166497.51,Florida,109436.39
79824.49,52498.33,283639.44,California,129678.13
32210.13,59905.26,10945.86,Florida,64369.21
22086.66,129459.53,460108.42,Florida,106822.7
80869.84,100806.5,231505.65,New York,131904.37
38574.59,67739.9,375712.91,New York,122050.01
113868.38,105114.93,39710.4,Florida,127202.51
74315.83,66754.33,233596.0,California,126520.96
141555.29,126595.24,235539.36,New York,176132.54
119045.07,99077.19,450156.7,California,179525.17
53102.33,91912.33,274429.47,California,122169.66
141484.17,83166.33,227274.91,Florida,176151.44
136809.94,119331.09,128148.32,New York,172615.62
65871.32,89799.39,159153.12,Florida,111007.61
49015.78,59641.49,249922.75,Florida,103493.64
116024.24,62980.65,210677.5,New York,154281.27
23757.92,155808.74,10373.8,New York,74330.41
